# C Benchmark results for MSIDH protocol
n	t	p_bitsize	avg	stddev	n_reps
1	20	90	0.01	0.00	5
2	40	232	0.07	0.01	5
3	60	388	0.26	0.01	5
4	80	558	0.61	0.02	5
5	100	738	1.22	0.03	5
6	120	922	2.29	0.01	5
7	140	1111	4.22	0.09	5
8	160	1307	7.09	0.14	5
9	180	1502	11.32	0.22	5
10	200	1709	17.21	0.28	5
11	220	1917	24.09	0.30	5
12	240	2130	35.07	0.36	5
13	260	2340	46.78	0.72	5
14	280	2556	64.34	0.50	5
15	300	2773	83.34	1.89	5
16	320	2996	101.98	0.78	5
17	340	3216	131.56	0.20	5
18	360	3443	166.73	1.36	5
19	380	3667	194.56	0.35	5
20	400	3895	238.42	0.67	5
