# Sage Benchmark results for MSIDH protocol
n	t	p_bitsize	avg	stddev	n_reps
1	20	90	0.20	0.01	5
2	40	232	0.88	0.02	5
3	60	388	2.25	0.02	5
4	80	558	4.48	0.07	5
5	100	738	7.94	0.05	5
6	120	922	12.95	0.07	5
7	140	1111	19.92	0.15	5
8	160	1307	29.19	0.16	5
9	180	1502	46.86	0.32	5
10	200	1709	76.10	0.48	5
11	220	1917	114.19	1.84	5
12	240	2130	184.27	10.36	5
13	260	2340	267.87	9.58	5
14	280	2556	344.95	5.28	5
15	300	2773	468.26	2.40	5
16	320	2996	620.06	9.42	5
17	340	3216	816.44	9.72	5
18	360	3443	1044.01	6.67	5
19	380	3667	1291.11	36.10	5
20	400	3895	1568.99	21.00	5
